iter	RMSE
559	2.124852933
560	2.124816232
561	2.124770332
562	2.12471729
563	2.124665954
564	2.124605391
565	2.124577249
566	2.124551286
567	2.124495811
568	2.124458353
569	2.124406974
570	2.12437975
571	2.124321088
572	2.124279435
573	2.124203096
574	2.12415461
575	2.124113134
576	2.124048395
577	2.124013287
578	2.123954372
579	2.123912894
580	2.123828251
581	2.123776831
582	2.123724718
583	2.123674124
584	2.123606767
585	2.123569365
586	2.123536387
587	2.123479781
588	2.123425976
589	2.123368739
590	2.123323111
591	2.123271553
592	2.12321034
593	2.123157394
594	2.123118066
595	2.123053094
596	2.122999408
597	2.122971432
598	2.12290891
599	2.122865499
600	2.122809544
601	2.12276298
602	2.122705121
603	2.122678893
604	2.12262531
605	2.122580771
606	2.12252535
607	2.122512965
608	2.122445971
609	2.122402999
610	2.122363865
611	2.122329514
612	2.12226417
613	2.122190601
614	2.122141881
615	2.122098706
616	2.122050775
617	2.122000866
618	2.121951317
619	2.121908884
620	2.121875999
621	2.121826395
622	2.12178428
623	2.121736497
624	2.121647917
625	2.121612055
626	2.12155359
627	2.121494453
628	2.12144085
629	2.121388604
630	2.12135796
631	2.121314009
632	2.121251786
633	2.121208527
634	2.121141536
635	2.121089951
636	2.121050721
637	2.121004778
638	2.12096071
639	2.120905597
640	2.120856515
641	2.120799016
642	2.120760347
643	2.120735461
644	2.120686481
645	2.120620974
646	2.120569636
647	2.120528584
648	2.120454538
649	2.12040617
650	2.120353738
651	2.120303294
652	2.120241134
653	2.120181459
654	2.120136817
655	2.120080968
656	2.120051961
657	2.119995136
658	2.119956025
659	2.119920702
660	2.119862014
661	2.119823878
662	2.119763116
663	2.119699553
664	2.119658916
665	2.119626617
666	2.119560383
667	2.119517673
668	2.119461256
669	2.119430576
670	2.119392484
671	2.119346566
672	2.119294434
673	2.119281145
674	2.119221715
675	2.119178887
676	2.119129733
677	2.11907877
678	2.119041365
679	2.119009619
680	2.118946998
681	2.118895846
682	2.118848702
683	2.118807034
684	2.118761481
685	2.118715808
686	2.118660638
687	2.118607311
688	2.118540145
689	2.118480594
690	2.118433303
691	2.118389973
692	2.118343658
693	2.118288875
694	2.118229621
695	2.118179798
696	2.118133122
697	2.118089054
698	2.118017125
699	2.117958201
700	2.117918778
701	2.117871269
702	2.117835909
703	2.11778488
704	2.11773865
705	2.117706681
706	2.117657759
707	2.117610277
708	2.117569924
709	2.117557232
710	2.117509115
711	2.117450344
712	2.11741474
713	2.117383396
714	2.117344156
715	2.117295898
716	2.117257124
717	2.117213229
718	2.117168585
719	2.117103862
720	2.117070664
721	2.117024371
722	2.117014977
723	2.116964001
724	2.116889015
725	2.116850389
726	2.116799505
727	2.11675467
728	2.116709109
729	2.116656576
730	2.116650828
731	2.11658822
732	2.116532902
733	2.116488763
734	2.116450549
735	2.116405675
736	2.116356231
737	2.116323
738	2.116266893
739	2.116216349
740	2.116189386
741	2.116139634
742	2.116094989
743	2.116059284
744	2.116014979
745	2.115974582
746	2.115925275
747	2.115885932
748	2.115849506
749	2.115780619
750	2.115744846
751	2.115695649
752	2.115650219
753	2.115595613
754	2.115532349
755	2.115492171
756	2.115447759
757	2.115389122
758	2.115336878
759	2.115282241
760	2.115236411
761	2.115178025
762	2.115127157
763	2.115076691
764	2.115032342
765	2.114977781
766	2.11494617
767	2.114897415
768	2.114815572
769	2.114779363
770	2.11473317
771	2.114687476
772	2.11464404
773	2.114576148
774	2.114519067
775	2.114470236
776	2.114427958
777	2.114381076
778	2.114352014
779	2.114291424
780	2.1142338
781	2.114183592
782	2.114129365
783	2.114094248
784	2.114043237
785	2.114012731
786	2.113972291
787	2.113931641
788	2.113888995
789	2.113848386
790	2.113786964
791	2.113723493
792	2.113695964
793	2.113648836
794	2.113594513
795	2.113540623
796	2.113499219
797	2.113457759
798	2.113428184
799	2.113376131
800	2.11335787
801	2.113311332
802	2.113247147
803	2.113204489
804	2.113164127
805	2.113123478
806	2.113087039
807	2.113031281
808	2.112976536
809	2.112929128
810	2.112897817
811	2.112842667
812	2.11279827
813	2.112754055
814	2.112717393
815	2.112665005
816	2.112628381
817	2.11258855
818	2.112559535
819	2.11250664
820	2.112460542
821	2.11240936
822	2.112356853
823	2.112318563
824	2.112279406
825	2.112246832
826	2.112194173
827	2.112157255
828	2.112107883
829	2.112064592
830	2.112028175
831	2.112000144
832	2.111940838
833	2.111900391
834	2.111843304
835	2.111810312
836	2.111771262
837	2.111724379
838	2.111685111
839	2.111637094
840	2.111586477
841	2.11154194
842	2.111494917
843	2.111446241
844	2.11139739
845	2.111356628
846	2.111311832
847	2.111260529
848	2.111205217
849	2.111157225
850	2.111092377
851	2.11104084
852	2.111004631
853	2.110957988
854	2.110909504
855	2.110865049
856	2.110824859
857	2.110774348
858	2.110730472
859	2.110706636
860	2.11064957
861	2.110588811
862	2.110541042
863	2.11050571
864	2.110461493
865	2.110410012
866	2.110368008
867	2.110326553
868	2.110273512
869	2.110230782
870	2.110190335
871	2.110128557
872	2.110088508
873	2.110034236
874	2.109975559
875	2.109949357
876	2.109905131
877	2.109838547
878	2.109801785
879	2.10974526
880	2.10969175
881	2.109655922
882	2.109609685
883	2.109571559
884	2.109522595
885	2.109465428
886	2.109419886
887	2.109369552
888	2.109341415
889	2.109280508
890	2.109240805
891	2.109173859
892	2.109133144
893	2.109100023
894	2.109057214
895	2.108992121
896	2.108949962
897	2.108896017
898	2.108847046
899	2.108804469
900	2.108757247
901	2.108748945
902	2.10871678
903	2.108672529
904	2.108624768
905	2.108590324
906	2.108537411
907	2.10850104
908	2.108461996
909	2.108417191
910	2.108374162
911	2.108327271
912	2.108292341
913	2.10824221
914	2.108188518
915	2.108156011
916	2.10813026
917	2.108089091
918	2.108053288
919	2.108020532
920	2.107981822
921	2.107940911
922	2.107883664
923	2.107862601
924	2.107821021
925	2.107782621
926	2.107741016
927	2.107700495
928	2.107664102
929	2.107609624
930	2.107578505
931	2.107530723
932	2.107487708
933	2.107438783
934	2.107399109
935	2.107363591
936	2.107324756
937	2.107288843
938	2.107224335
939	2.107173923
940	2.107124375
941	2.107082057
942	2.107051561
943	2.107012064
944	2.106985997
945	2.106939222
946	2.106900753
947	2.106852671
948	2.106821107
949	2.106784133
950	2.10676865
951	2.106731354
952	2.106698158
953	2.106642689
954	2.106607477
955	2.106552785
956	2.106527158
957	2.106482973
958	2.106431714
959	2.106391841
960	2.106308212
961	2.106248645
962	2.106214809
963	2.106179887
964	2.10614397
965	2.1061042
966	2.106061769
967	2.106038779
968	2.105985484
969	2.105940759
970	2.105898062
971	2.105851433
972	2.105821592
973	2.105775806
974	2.105746555
975	2.105702545
976	2.105670714
977	2.105636026
978	2.105603377
979	2.10556032
980	2.105539448
981	2.105503773
982	2.105466828
983	2.105373325
984	2.105324462
985	2.105267114
986	2.105221883
987	2.105174807
988	2.105114861
989	2.105085293
990	2.105036343
991	2.104991699
992	2.10498269
993	2.104943196
994	2.104897817
995	2.104857614
996	2.104829792
997	2.104794653
998	2.10474692
999	2.1047021
